ЕРБСММЮ=Единый Реестр Ботов-СММщиков Ютуба. Список активно не ведётся. Подробнее: [1](https://t.me/YTObserver/118), [2](https://t.me/YTObserver/129), [3](https://t.me/YTObserver/138), [4](https://t.me/YTObserver/148), [5](https://t.me/YTObserver/148), [6](https://t.me/YTObserver/151)
UCLlwv6zNyhg9neqbio2PaRA=22 Sep, 2016 #1
UCvDlj4LHqe-HxKjsR9J2-CA=27 May, 2018 #1
UCrSNrBn__LSio5rRti-vpuw=30 Jun, 2012 #1
UC6I8H58FPrTQ7_oHUqmCcbA=9 May, 2017 #1
UCzVdqE_xuCHuyu_isf4lCpQ=17 Feb, 2014 #1
UCtGOATfIGaJXDEnowLpMg7Q=27 May, 2018 #1
UCoYPr_W5sjuArYA3nRPNNDw=27 May, 2018 #1
MrVladLV=26 Sep, 2011 #1
UCidb_yvB3in1FufO31lS9gA=4 Sep, 2013 #1
UCcZJnl1S4PtN4tOAHZ4LsGQ=31 Mar, 2018 #1
UCpr3SZaQYvJc94N20LrE2Fw=4 May, 2018 #1
UCW7qEyKTjqq6vhJEJcxuNfA=30 Nov, 2014 #1
UCZfJp_Q2luym8-AGeNrpaVg=30 Sep, 2016 #1
UCPxCvIqBiafj-4SDIoLFyNA=17 Feb, 2014 #1
UC0WgAmH9lhXUAJklO6MBEQA=17 Dec, 2015 #1
UC6lwAdjB2uRLIdUABdorpYQ=16 Apr, 2017 #1
UCXyVPmJD30Rl-Ex3xDudasQ=27 Dec, 2017 #1
UC8I8t7oT2lvyxU71PAH_dmg=7 Jan, 2017 #1
UCI8gDNeV4f2g7SGgw-si_Jg=23 Jun, 2018 #1
UCUBE6NJGjWYx1U2TelZypNQ=29 Nov, 2017 #1
UCA3Le3J7r_MD0Z0Aj2SZTAQ=12 Jun, 2018 #1
UCWy6F1yFgqpWtG_l8ZRHh5g=4 Sep, 2017 #1
UClLOc0dyD_beCj_MupTfg-w=9 Feb, 2018 #1
egin1982=17 Nov, 2009 #1
UCZvrL7orewUJ3I2kBVSFUhQ=15 Feb, 2016 #1
UCHF_cWJn2jpzfE6z0Uf0m_g=9 Dec, 2014 #1
UCSPqDnpigNUG_1ghFufay1g=30 Jan, 2014 #1
Slava48039=20 Dec, 2010 #1
UC0g8IsRt2AAD2tZThHv_Dag=10 Feb, 2013 #1
UCzeZijqxVGUzJ6nJ3yqm9sA=27 Feb, 2018 #1
UCzqOtRbmd5HBFcOBOchuDWA=29 Sep, 2012 #1
UCLHTtfuGok4B43WEE8ZG7mA=22 Nov, 2017 #1
UCjZX-6avQWnUo-80opOYakg=11 Jun, 2018 #1
UCF6H1lFSFzcjEN71vZWVNQg=2 Feb, 2018 #1
UCfCTSEHgtB3u04QdPV8w_MQ=11 Dec, 2011 #1
UCgCg-lJCNTU-5vXy6T5imjw=26 May, 2016 #1
UCRctqUhGptcrP5EbgLFsSPw=7 Feb, 2017 #1
UCLnHcPW9alJPTJvFOJoNU0g=19 May, 2018 #1
UCbEopyod6R3pcYDM-9Mqrig=17 Feb, 2015 #1
UCHNV1bX-HMADBc0n9-rOq9A=13 Oct, 2016 #1
UCoY6DgjzDzPCvsoIxxwf86w=23 Sep, 2014 #1
UCIm6zBZNJDcEksiPR_F4eYg=5 Dec, 2017 #1
UCgRcYjV6cE921557913mcuA=8 Jul, 2016 #1
UCga8uAOGhoVicxoZ-S5r75w=11 Jun, 2015 #1
UCsu52NYos4NaKgnL0bLk6KA=20 Nov, 2017 #1
UCHJ4OOq6hTMmExTN2k9dBog=14 Dec, 2015 #1
UCLqEkTLFK91feReRI74qR9A=3 Sep, 2017 #1
UCIrwFlC0OAfe9o-Ce2njU2g=29 Aug, 2017 #1
UCcR1HeJ0y_mmbMEgLZ50Vtg=31 Aug, 2017 #1
UCnRan7Ogxm0reJdrxGfkoVQ=23 Nov, 2013 #1
UCxpH5kGinhe8u-3MA3CV2NA=23 Feb, 2012 #1
UCwCNWqzRlh2XpwnVj2V7kiw=17 Sep, 2016 #1
UCOr87f0XDDfxVun9XTNpeBA=16 Nov, 2016 #1
UCpoGIcIULYTyQ8UQyDsX7Vw=10 Mar, 2014 #1
UCFo_LS0EJHbshBK9gauaDPA=5 Dec, 2017 #1
UCjL1v6NlqQkJnwZHrN3OcdQ=5 Dec, 2017 #1
UCJ5PAwUjUNfs-2jCVf2Fa3Q=28 Feb, 2018 #1
