БИРЖИ КОММЕНТАТОРОВ=Здесь собраны аккаунты пользователей, выполняющих заказы на сервисах-биржах комментариев. [Подробная информация по каждой группе...]()
// биржа 1
iscanderz=Jan 3, 2007 [биржа#1]
egin1982=Nov 17, 2009 [биржа#1]
xbulchx=Jan 1, 2010 [биржа#1]
Tolik2974111=Aug 14, 2010 [биржа#1]
makarabus1978=Oct 2, 2010 [биржа#1]
Slava48039=Dec 20, 2010 [биржа#1]
Roma010178=Jan 24, 2011 [биржа#1]
Vitia28=Mar 18, 2011 [биржа#1]
MrLemizerable=Jul 1, 2011 [биржа#1]
Alika806=Aug 2, 2011 [биржа#1]
MrVladLV=Sep 26, 2011 [биржа#1]
UCcF_nPrCPF9FmLynZGnspZw=Sep 30, 2011 [биржа#1]
UCnHSzy49hzo97CIWb7avbEw=Oct 6, 2011 [биржа#1]
SuperZion1000=Oct 12, 2011 [биржа#1]
UCR74xzeZvH9jX9Px9eluc7g=Oct 17, 2011 [биржа#1]
UCuHyuUdiT-hk6qWP_9Hj6Tw=Oct 22, 2011 [биржа#1]
UCIorHFjdAU4Sqao6kMxSGkg=Dec 3, 2011 [биржа#1]
UCfCTSEHgtB3u04QdPV8w_MQ=Dec 11, 2011 [биржа#1]
stenli527=Dec 11, 2011 [биржа#1]
UCxpH5kGinhe8u-3MA3CV2NA=Feb 23, 2012 [биржа#1]
UC_NMhuxuuSRTThd2XxvJ4Gw=Mar 14, 2012 [биржа#1]
UCXvyNxbg1FPUXg94zEaSKZg=Apr 14, 2012 [биржа#1]
UCZHIVR3lVhAidpFq6YgDmZQ=Apr 16, 2012 [биржа#1]
UCOTB9D0FThDTlZLwlwi-FNA=Apr 19, 2012 [биржа#1]
UClUSGm99Go3E1n6CtYVOxag=May 28, 2012 [биржа#1]
UCbpfR0mCeb_pQ_GMmy972GQ=Jun 3, 2012 [биржа#1]
UCEFlajybiWBJ3lk55RW5R2Q=Jun 26, 2012 [биржа#1]
UCrSNrBn__LSio5rRti-vpuw=Jun 30, 2012 [биржа#1]
UCI2EP__lPcRjjuqFjgaCm6w=Aug 2, 2012 [биржа#1]
UCKx_rgdqQFN2mG-uWkoHGrQ=Sep 4, 2012 [биржа#1]
UCYNC2yWZftSjbtrJmZQo_Fw=Sep 7, 2012 [биржа#1]
UCzqOtRbmd5HBFcOBOchuDWA=Sep 29, 2012 [биржа#1]
UCsxGeR1tcDSwxbfbz8luO_g=Oct 14, 2012 [биржа#1]
UCzsxHybpq89jctMuHxBXUyA=Dec 7, 2012 [биржа#1]
UCIc8bB5JDOKKpljNo9bPPbw=Dec 16, 2012 [биржа#1]
UCBYtZ031iUpir0Hvd0PW0jg=Dec 24, 2012 [биржа#1]
UC0g8IsRt2AAD2tZThHv_Dag=Feb 10, 2013 [биржа#1]
UCKayIsJvbmWQXNBZsFbmPHQ=Feb 26, 2013 [биржа#1]
UCMTgUy3qj5pS3N3rAUxVlIw=Mar 27, 2013 [биржа#1]
UCqvupLv7z6JwW_MuTly5mtA=Apr 18, 2013 [биржа#1]
UCBnaAIrTXlar89UuJOL79FQ=May 25, 2013 [биржа#1]
UCc0wIxxF0Xl-PPZSrRpMdQg=Jun 7, 2013 [биржа#1]
UCnqJEQeVHQBwp1GLIbdxeBw=Jun 24, 2013 [биржа#1]
UC92B6_fD8BzEJiD4m7MFbMw=Aug 12, 2013 [биржа#1]
UCidb_yvB3in1FufO31lS9gA=Sep 4, 2013 [биржа#1]
UCnRan7Ogxm0reJdrxGfkoVQ=Nov 23, 2013 [биржа#1]
UCTOfXUWh79PrYuxQ-Xf2Ctg=Dec 7, 2013 [биржа#1]
UCm7AlydspdN8ICH9PCarwQA=Jan 15, 2014 [биржа#1]
